AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,number of parameter,"number of parameter without *args, **kargs",lineno,NBC,class
2,2,2,1,10,0,10,0,2,1,1,0,2,0,2,90,23,1,22,5,18,0,12,4,9,2,2,2,1,3,1,0,4,4,4,2,0,0,76,2,0
1,1,1,1,5,0,5,0,2,0,0,0,1,0,1,98,8,0,8,4,4,0,4,3,2,1,1,1,1,3,0,0,1,1,1,1,0,0,51,2,0
1,1,1,1,4,0,4,0,2,2,1,0,3,1,3,87,18,2,16,7,11,0,14,6,10,2,2,2,1,2,1,0,5,5,5,3,0,0,18,2,0
1,1,1,1,3,0,3,0,2,1,0,0,3,1,3,94,13,2,11,6,7,0,8,6,4,1,1,1,1,2,0,0,3,3,3,3,0,0,93,2,0
1,1,1,1,3,0,3,0,2,0,0,5,2,4,2,98,9,1,8,7,5,0,8,7,5,1,1,1,1,3,0,0,2,2,2,2,0,0,128,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,30,3,0,3,2,1,0,3,2,1,1,1,1,1,5,0,0,1,1,1,1,0,0,131,2,0
1,1,1,1,5,0,5,0,2,0,0,0,1,0,1,30,6,0,6,3,4,0,5,3,3,1,1,1,1,5,0,0,1,1,1,1,0,0,143,2,0
1,1,1,1,2,0,2,0,2,1,0,0,2,0,2,24,7,1,6,4,3,0,6,4,3,1,1,1,1,3,0,0,2,2,2,2,0,0,771,2,0
1,1,1,1,2,0,2,0,2,1,1,0,1,0,1,29,3,0,3,2,1,0,3,2,1,1,1,1,1,3,0,0,1,1,1,1,0,0,778,2,0
1,1,1,1,2,0,2,0,2,1,1,0,2,0,2,42,6,1,5,3,2,0,5,3,2,1,1,1,1,2,0,0,2,2,2,2,0,0,789,2,0
1,1,1,1,5,0,5,0,2,2,1,0,2,1,2,42,12,1,11,4,8,0,6,3,3,1,1,1,1,2,0,0,2,2,2,2,0,0,797,2,0
1,1,1,1,6,0,6,0,2,1,1,0,2,1,2,42,15,1,14,6,11,0,9,5,6,1,1,1,1,2,0,0,2,2,2,2,0,0,814,2,0
1,1,1,1,4,0,4,0,2,2,1,0,2,2,2,13,10,1,9,5,6,0,9,5,6,1,1,1,1,2,0,0,2,2,2,2,0,0,86,2,0
1,1,1,1,4,0,4,0,2,2,1,0,2,2,2,13,10,1,9,5,6,0,9,5,6,1,1,1,1,2,0,0,2,2,2,2,0,0,110,2,0
1,1,1,1,3,0,3,0,2,2,1,0,2,2,2,47,8,1,7,5,4,0,6,4,3,1,1,1,1,3,0,0,2,2,2,2,0,0,419,2,0
1,1,1,1,2,0,2,0,2,1,1,0,1,0,1,12,3,0,3,2,1,0,3,2,1,1,1,1,1,2,0,0,1,1,1,1,0,0,131,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,27,3,0,3,2,1,0,3,2,1,1,1,1,1,4,0,0,1,1,1,1,0,0,369,2,0
1,1,1,1,3,0,2,0,2,0,0,0,3,0,3,28,12,2,9,4,5,1,9,4,5,1,1,1,1,4,0,0.11,3,3,3,3,0,0,379,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,2,3,0,3,2,1,0,3,2,1,1,1,1,1,2,0,0,1,1,1,1,0,0,411,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,2,3,0,3,2,1,0,3,2,1,1,1,1,1,2,0,0,1,1,1,1,0,0,416,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,3,0,3,3,2,0,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,585,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,3,0,3,3,2,0,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,590,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,3,0,3,3,2,0,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,595,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,3,0,3,3,2,0,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,600,2,0
