CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,PAR,class
22,4,15,8,14,3,1,0,14,8,13,2,2,2,1,0,0.2,5,5,1022,3,0
3,0,3,3,2,0,1,0,3,3,2,1,1,1,1,0,0,3,3,616,3,0
9,0,9,1,8,0,3,0,7,1,6,4,4,4,1,1,0,3,3,719,3,0
3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,0,0,4,4,122,4,0
8,0,8,1,7,0,2,0,6,1,5,2,2,2,1,1,0,4,4,243,4,0
3,0,2,1,1,1,1,0,2,1,1,1,1,1,1,0,0.5,3,2,1296,3,0
47,3,30,6,27,14,16,1,21,5,19,6,6,7,3,2,0.47,6,6,2981,3,0
12,0,12,2,11,0,3,0,9,2,8,5,5,5,1,1,0,4,4,30,4,0
3,0,3,1,2,0,1,0,3,1,2,1,1,1,1,0,0,3,3,334,3,0
7,0,7,4,6,0,1,0,7,4,6,1,1,1,1,1,0,3,3,83,3,0
5,0,5,3,4,0,1,0,5,3,4,1,1,1,1,0,0,3,3,13,3,0
5,0,5,1,4,0,2,0,4,1,3,2,2,2,1,1,0,4,4,95,4,0
3,0,3,3,2,0,1,0,3,3,2,1,1,1,1,0,0,3,3,78,3,0
8,0,7,2,6,1,2,0,6,2,5,2,2,2,1,1,0.14,4,4,292,4,0
115,16,31,13,29,68,20,1,28,12,27,6,6,8,4,2,2.19,9,9,589,3,0
4,0,4,2,3,0,1,0,3,2,2,1,1,1,1,0,0,4,4,510,4,1
17,3,13,4,11,1,6,1,10,3,9,4,4,6,4,2,0.08,8,8,583,3,0
25,0,20,12,19,5,2,0,20,12,19,2,2,2,1,1,0.25,5,5,1941,3,0
30,5,21,14,20,4,8,1,20,14,19,4,4,4,1,1,0.19,3,1,185,3,0
12,0,12,4,11,0,3,0,11,4,10,3,3,5,1,2,0,3,3,671,3,0
38,8,5,1,4,25,2,0,4,1,3,2,2,2,1,1,5,3,3,667,3,0
29,2,6,2,5,21,2,0,6,2,5,2,2,2,1,1,3.5,3,3,1101,3,0
7,0,7,1,6,0,1,0,7,1,6,1,1,1,1,0,0,4,4,506,4,0
19,1,13,6,12,5,3,0,13,6,12,3,3,3,3,2,0.38,5,5,453,5,1
47,5,7,2,6,35,2,0,5,2,4,2,2,2,1,1,5,5,3,621,5,1
37,2,11,5,10,24,4,1,10,5,9,3,3,3,1,1,2.18,4,4,173,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,87,3,0
176,30,57,15,54,89,24576,4,46,14,44,18,18,25,9,2,1.56,7,7,311,3,0
4,0,3,1,2,1,1,0,3,1,2,1,1,1,1,0,0.33,3,3,725,3,0
46,9,36,9,33,1,1,0,28,9,25,1,1,1,1,0,0.03,3,3,383,3,0
4,0,4,3,3,0,1,0,4,3,3,1,1,1,1,0,0,4,4,290,3,0
21,2,15,5,14,4,5,1,13,5,12,4,4,4,1,2,0.27,3,3,645,3,0
13,2,11,4,9,0,2,0,10,4,8,2,2,2,1,1,0,4,3,9,3,0
7,0,7,4,6,0,1,0,7,4,6,1,1,1,1,0,0,4,4,2450,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,211,3,0
5,0,4,1,3,1,2,0,4,1,3,2,2,2,1,1,0.25,3,3,1453,3,0
29,2,23,10,22,4,6,1,23,10,22,5,5,5,4,2,0.17,3,3,58,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,387,4,0
